"Name","First Name","Last Name","Title / Role","Email","Phone","Website","Address","City","State","Country","Industry","Description","LinkedIn","Twitter / X","Facebook","Instagram","Year Founded","Employees","Revenue","Source URL","Notes","Region","Services","Accreditations","Latitude","Longitude","Last Verified"
"1 Call Electrical & Handyman Services","N/A","N/A","N/A","1callservices@mail.com","07733 282229","N/A","Trigfa, Milford Haven","Milford Haven","Wales","United Kingdom","EV chargepoint installation","Commercial installations only","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","Wales","Commercial","OZEV authorised","51.72196155","-5.0252471","2026-05-18"
"1CDM LTD","N/A","N/A","N/A","info@1cdm.co.uk","07588 879878","https://www.1cdm.co.uk/","85 Great Portland Street, London","London","London","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","London","Commercial; Residential","OZEV authorised","51.51846899999999","-0.1423797","2026-05-18"
"24-7 Energy Services Limited","N/A","N/A","N/A","ev@24-7group.co.uk","01492 531414","https://www.24-7group.co.uk","Unit 4, Parc Elwy, Eagles Farm Road, Colwyn Bay","Colwyn Bay","Wales","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","Wales","Commercial; Residential","OZEV authorised","53.28956150526316","-3.7655091315789475","2026-05-18"
"247EV Ltd","N/A","N/A","N/A","info@247ev.co.uk","03301 334186","https://www.247ev.co.uk","The Maltings, 100 Wilderspool Causeway, Warrington","Warrington","North West","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","North West","Commercial; Residential","OZEV authorised","53.381863451219544","-2.5908804292682923","2026-05-18"
"48 Four Contract Services","N/A","N/A","N/A","sales@48fourservices.com","02034 885484","https://www.48fourservices.com","12 Imperial Way, Croydon","Croydon","South East","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","South East","Commercial; Residential","OZEV authorised","51.356800006896535","-0.12050814942528733","2026-05-18"
"A & E Builders Ltd","N/A","N/A","N/A","sam@ae-builders.co.uk","01256 351327","N/A","1a Deep Lane, Basingstoke","Basingstoke","South East","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","South East","Commercial; Residential","OZEV authorised","51.263926606666665","-1.101206913333333","2026-05-18"
"A C Lister","N/A","N/A","N/A","andrewlister.sparky@gmail.com","07966 054398","https://www.aclisterelectrical.co.uk/","The Old Station, Llandinam","Llandinam","West Midlands","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","West Midlands","Commercial; Residential","OZEV authorised","52.489690015384625","-3.443437069230769","2026-05-18"
"A Campbell Electrical Services Ltd","N/A","N/A","N/A","ar@aces-ltd.co.uk","01851 706632","https://www.aces­ltd.co.uk","Anderson Road, Stornoway, Isle of Lewis","Isle of Lewis","Scotland","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","Scotland","Commercial; Residential","OZEV authorised","58.214715727419346","-6.370430120967741","2026-05-18"
"A Class Plumbing and Electrical Ltd","N/A","N/A","N/A","N/A","01253 291374","N/A","263 Dickson Road, Blackpool","Blackpool","North West","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","North West","Commercial; Residential","OZEV authorised","53.829807829999986","-3.0528354414285714","2026-05-18"
"A D Electricians","N/A","N/A","N/A","aaltaf@outlook.com","07866 719486","https://www.adelectricians.org","72 Uphall Road, Ilford","Ilford","South East","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","South East","Commercial; Residential","OZEV authorised","51.54595776862743","0.07280516862745094","2026-05-18"
"A Electric Solutions Ltd","N/A","N/A","N/A","enquiries@plugin-stations.com","02037 957117","N/A","274 Baker Street,, London","London","South East","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","South East","Commercial; Residential","OZEV authorised","51.66211694590164","-0.07865590819672129","2026-05-18"
"A H Electrical (West Midlands)","N/A","N/A","N/A","hussain.abid77@yahoo.com","07929 111786","N/A","267 Flaxley Road, Stechford, Birmingham","Birmingham","West Midlands","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","West Midlands","Commercial; Residential","OZEV authorised","52.48484943799999","-1.8019474459999996","2026-05-18"
"A J Robson Electrical Ltd","N/A","N/A","N/A","stuart@ajrobson.com","01224 248123","https://www.ajrobson.com","Unit 1A Deemouth Centre, Aberdeen","Aberdeen","Scotland","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","Scotland","Commercial; Residential","OZEV authorised","57.13873542533332","-2.087421261333333","2026-05-18"
"A J Taylor Electrical Contractor Ltd","N/A","N/A","N/A","info@ajtaylor-electrical.co.uk","01273 600089","https://www.ajtaylor-electrical.co.uk","Unit 3, Centenary Industrial Estate, Hughes Road, Brighton","Brighton","South East","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","South East","Commercial; Residential","OZEV authorised","50.83781463333333","-0.1294266","2026-05-18"
"A M Cumbria Ltd","N/A","N/A","N/A","N/A","N/A","N/A","Unit 2, South John Street, Carlisle","Carlisle","North West","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","North West","Commercial; Residential","OZEV authorised","54.88826519999999","-2.9330282071428577","2026-05-18"
"A M Gardiner Ltd","N/A","N/A","N/A","info@amgardiner.co.uk","01463 230560","https://www.amgardiner.co.uk","4 India Street, Inverness","Inverness","Scotland","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","Scotland","Commercial; Residential","OZEV authorised","57.48574928571429","-4.234540971428571","2026-05-18"
"A N M Electrical","N/A","N/A","N/A","andrew@anmelectrical.co.uk","01463 718015","https://www.anmelectrical.co.uk","36b Longman Drive, Inverness","Inverness","Scotland","United Kingdom","EV chargepoint installation","Commercial and residential installations","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.gov.uk/electric-vehicle-chargepoint-installers","OZEV-authorised; commercial installs","Scotland","Commercial; Residential","OZEV authorised","57.49180360958903","-4.226641982191782","2026-05-18"
