rank,score,name,region,town,postcode,phone,email,website,services,service_text,reasons
1,26,Barassie Engineering Systems Ltd,Scotland,Ayr,KA8 9DJ,07739 812920,mgillies@barassie-engsys.co.uk,https://www.barassie-engsys.co.uk/,Commercial,Commercial installations only,+3 kw:commercial install; +4 density; +12 commercial-only focused; +3 ltd co; +4 own-brand domain
2,26,Phase 2 Phase Electrical Contractors Ltd,North West,Crewe,CW2 7NB,01270 444003,office@phase2phaseelectrical.com,https://www.phase2phaseelectrical.com,Commercial,Commercial installations only,+3 kw:commercial install; +4 density; +12 commercial-only focused; +3 ltd co; +4 own-brand domain
3,25,DPSS Cabling Services Ltd,London,London,EC2A 4NE,01895 251010,info@dpsscabling.co.uk,https://www.dpsscabling.co.uk,Commercial,Commercial installations only,+3 kw:commercial install; +3 density; +12 commercial-only focused; +3 ltd co; +4 own-brand domain
4,25,Elecktec Ltd,Yorkshire & Humber,Bradford,BD7 1JZ,01274 512791,darren@elecktec.co.uk,https://www.elecktec.co.uk,Commercial,Commercial installations only,+3 kw:commercial install; +3 density; +12 commercial-only focused; +3 ltd co; +4 own-brand domain
5,25,Pretty Wired Limited,London,London,SW2 5TN,02045 421890,info@prettywired.co.uk,https://www.prettywired.co.uk,Commercial,Commercial installations only,+3 kw:commercial install; +3 density; +12 commercial-only focused; +3 ltd co; +4 own-brand domain
6,25,Stay Current Limited,London,London,SE18 6RL,07737 868624,marcus@staycurrent.co.uk,https://www.staycurrent.co.uk,Commercial,Commercial installations only,+3 kw:commercial install; +3 density; +12 commercial-only focused; +3 ltd co; +4 own-brand domain
7,24,AIS Utilities Limited,South East,Sutton Coldfield,SM1 1EZ,02039 478846,enquiries@aisutilities.co.uk,https://www.aisutilities.co.uk,Commercial,Commercial installations only,+3 kw:commercial install; +6 density; +12 commercial-only focused; +3 ltd co
8,24,C&S Instrument Services Ltd (T/A CSI Technical),South East,Rochester,ME2 4ER,07393 977010,ianm@csitechnical.co.uk,https://www.kentkraftgroup.com,Commercial,Commercial installations only,+3 kw:commercial install; +6 density; +12 commercial-only focused; +3 ltd co
9,24,Goodridge Electrical Ltd,South East,Tunbridge Wells,TN1 1XP,01892 257122,info@gel.uk.com,https://www.gel.uk.com/,Commercial,Commercial installations only,+3 kw:commercial install; +6 density; +12 commercial-only focused; +3 ltd co
10,24,OJN ELECTRICAL LTD,South East,Dartford,DA1 5TQ,07956 605452,info@ojnelectrical.co.uk,https://www.ojnelectrical.co.uk,Commercial,Commercial installations only,+3 kw:commercial install; +6 density; +12 commercial-only focused; +3 ltd co
11,24,Stephen Parsons Associates Limited,South East,Twickenham,TW1 1DG,02087 442115,mark@spaltd.co.uk,https://www.spaltd.co.uk,Commercial,Commercial installations only,+3 kw:commercial install; +6 density; +12 commercial-only focused; +3 ltd co
12,24,TL Electrical (IOW) Ltd,South East,Newport,PO30 1YS,01983 525644,info@tl-electrical.co.uk,https://www.tl-electrical.co.uk,Commercial,Commercial installations only,+3 kw:commercial install; +6 density; +12 commercial-only focused; +3 ltd co
13,23,Barrett Contracts Ltd,Northern Ireland,Omagh,BT78 5EJ,02882249111 / 07881550882,alan@barrettcontracts.com,https://www.barrettcontracts.com,Commercial,Commercial installations only,+3 kw:commercial install; +1 density; +12 commercial-only focused; +3 ltd co; +4 own-brand domain
14,23,Colin Johnstone Electrical Contractor,Scotland,Glencaple,DG1 4RX,07720 463120,info@colinjohnstone.co.uk,https://www.colinjohnstone.co.uk,Commercial,Commercial installations only,+3 kw:commercial install; +4 density; +12 commercial-only focused; +4 own-brand domain
15,22,RJ Smith Electrical Engineers Ltd,Scotland,Paisley,PA1 2HQ,01418 480700,david@rjsmithelectrical.com,https://www.rjsmithelectrical.com,Commercial,Commercial installations only,+3 kw:commercial install; +4 density; +12 commercial-only focused; +3 ltd co
16,22,SES Building Services Ltd,North West,Preston,PR1 9DB,N/A,neil@sesbs.co.uk,https://www.sesbs.co.uk,Commercial,Commercial installations only,+3 kw:commercial install; +4 density; +12 commercial-only focused; +3 ltd co
17,21,Atlantis Facilities Ltd T/A Huddersfield Electrical Contractors,Yorkshire & Humber,Huddersfield,HD1 6RX,01484 421269,oliver@hec-ltd.com,https://www.hec-ltd.com,Commercial,Commercial installations only,+3 kw:commercial install; +3 density; +12 commercial-only focused; +3 ltd co
